Lykill;Póstnúmer;Heiti_nf;Heiti_thgf
1;101;Aðalstræti;Aðalstræti
2;101;Amtmannsstígur;Amtmannsstíg
3;101;Aragata;Aragötu
24649;101;Austurbakki;Austurbakka
4;101;Austurbugt;Austurbugt
22766;101;Austurbæjarskóli;Austurbæjarskóla
5;101;Austurstræti;Austurstræti
6;101;Ánanaust;Ánanaustum
8;101;Ásvallagata;Ásvallagötu
9;101;Bakkastígur;Bakkastíg
10;101;Baldursgata;Baldursgötu
11;101;Bankastræti;Bankastræti
12;101;Barónsstígur;Barónsstíg
13;101;Bauganes;Bauganesi
14;101;Baugatangi;Baugatanga
15;101;Bárugata;Bárugötu
16;101;Bergstaðastræti;Bergstaðastræti
17;101;Bergþórugata;Bergþórugötu
18;101;Bjargarstígur;Bjargarstíg
19;101;Bjarkargata;Bjarkargötu
20;101;Bjarnarstígur;Bjarnarstíg
21;101;Blómvallagata;Blómvallagötu
22;101;Bókhlöðustígur;Bókhlöðustíg
23;101;Bragagata;Bragagötu
28;101;Brattagata;Bröttugötu
24;101;Brávallagata;Brávallagötu
25;101;Brekkustígur;Brekkustíg
26;101;Brunnstígur;Brunnstíg
27;101;Bræðraborgarstígur;Bræðraborgarstíg
29;101;Drafnarstígur;Drafnarstíg
30;101;Eggertsgata;Eggertsgötu
31;101;Egilsgata;Egilsgötu
32;101;Einarsnes;Einarsnesi
33;101;Eiríksgata;Eiríksgötu
34;101;Eyjarslóð;Eyjarslóð
35;101;Faxagata;Faxagötu
36;101;Faxaskáli;Faxaskála
37;101;Fáfnisnes;Fáfnisnesi
38;101;Fischersund;Fischersundi
39;101;Fiskislóð;Fiskislóð
40;101;Fjólugata;Fjólugötu
41;101;Fjölnisvegur;Fjölnisvegi
21070;101;Fluggarðar;Fluggörðum
21071;101;Flugskýli;Flugskýli
42;101;Flugvallarvegur;Flugvallarvegi
43;101;Fossagata;Fossagötu
45;101;Frakkastígur;Frakkastíg
46;101;Framnesvegur;Framnesvegi
47;101;Freyjugata;Freyjugötu
48;101;Fríkirkjuvegur;Fríkirkjuvegi
49;101;Garðastræti;Garðastræti
50;101;Geirsgata;Geirsgötu
24472;101;Gimli;Gimli
51;101;Gnitanes;Gnitanesi
24292;101;Góugata;Góugata
52;101;Grandagarður;Grandagarði
53;101;Grettisgata;Grettisgötu
54;101;Grjótagata;Grjótagötu
55;101;Grófin;Grófinni
56;101;Grundarstígur;Grundarstíg
57;101;Haðarstígur;Haðarstíg
22454;101;Hafnarhvol;Hafnarhvoli
58;101;Hafnarstræti;Hafnarstræti
59;101;Hallveigarstígur;Hallveigarstíg
23003;101;Háskóli Íslands;Háskóli Íslands
60;101;Hávallagata;Hávallagötu
61;101;Hellusund;Hellusundi
24408;101;Hlíðarendi;Hlíðarenda
63;101;Hofsvallagata;Hofsvallagötu
